NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WNT3	WNT3	286	0.12098387628793716	0.028471775	No	
row_1	TCF7L2	TCF7L2	312	0.11746595799922943	0.06915539	No	
row_2	WNT16	WNT16	728	0.08428443968296051	0.07785644	No	
row_3	FZD3	FZD3	1075	0.07018595933914185	0.08508046	No	
row_4	WNT9A	WNT9A	1265	0.06497856229543686	0.098545715	No	
row_5	WNT5B	WNT5B	1467	0.05979019030928612	0.109537765	No	
row_6	FZD2	FZD2	2083	0.047932811081409454	0.09492842	No	
row_7	WNT6	WNT6	3491	0.03103574924170971	0.033410214	No	
row_8	WNT9B	WNT9B	4970	0.01956218108534813	-0.035871755	No	
row_9	LRP6	LRP6	5283	0.01753494329750538	-0.045706782	No	
row_10	DVL1	DVL1	7989	0.006142312660813332	-0.18310325	No	
row_11	AXIN1	AXIN1	8374	0.0049043684266507626	-0.20116708	No	
row_12	WNT8B	WNT8B	8614	0.004142811056226492	-0.21202031	No	
row_13	GSK3B	GSK3B	8622	0.004120434168726206	-0.2109092	No	
row_14	FRAT1	FRAT1	8952	0.0031354327220469713	-0.22676685	No	
row_15	WNT2B	WNT2B	9976	1.7859543731901795E-5	-0.27955228	No	
row_16	WNT8A	WNT8A	10008	-6.882708112243563E-5	-0.28112745	No	
row_17	FZD4	FZD4	11076	-0.003365514101460576	-0.3349873	No	
row_18	WNT5A	WNT5A	11831	-0.005748620722442865	-0.37184328	No	
row_19	TCF7	TCF7	12249	-0.007141347974538803	-0.39081073	No	
row_20	APC	APC	12392	-0.0076128640212118626	-0.39541835	No	
row_21	WNT10A	WNT10A	12910	-0.009698359295725822	-0.4186326	No	
row_22	WNT7B	WNT7B	14175	-0.01626484841108322	-0.47804934	No	
row_23	CTNNB1	CTNNB1	15739	-0.02883240580558777	-0.54840523	No	
row_24	FZD8	FZD8	16484	-0.037279754877090454	-0.5734782	Yes	
row_25	FZD9	FZD9	16521	-0.037878960371017456	-0.56180084	Yes	
row_26	DVL2	DVL2	16613	-0.03892930969595909	-0.5525864	Yes	
row_27	FRAT2	FRAT2	16642	-0.039296235889196396	-0.5399897	Yes	
row_28	TCF7L1	TCF7L1	16656	-0.0393950529396534	-0.5265837	Yes	
row_29	FZD7	FZD7	16814	-0.04229393228888512	-0.5195729	Yes	
row_30	MYC	MYC	16821	-0.04233448579907417	-0.50475526	Yes	
row_31	WNT4	WNT4	17037	-0.04577317833900452	-0.49949437	Yes	
row_32	FZD1	FZD1	17123	-0.04746009781956673	-0.48692203	Yes	
row_33	FZD5	FZD5	17480	-0.0551907904446125	-0.48557222	Yes	
row_34	LEF1	LEF1	17589	-0.05768170952796936	-0.47053432	Yes	
row_35	FZD10	FZD10	17870	-0.06589501351118088	-0.46143764	Yes	
row_36	AXIN2	AXIN2	18110	-0.07510259002447128	-0.44693506	Yes	
row_37	DVL3	DVL3	18821	-0.11681529879570007	-0.4418333	Yes	
row_38	FZD6	FZD6	18919	-0.12848035991191864	-0.4009295	Yes	
row_39	CCND1	CCND1	18922	-0.1286199390888214	-0.35507336	Yes	
row_40	WNT10B	WNT10B	19021	-0.14144767820835114	-0.3095876	Yes	
row_41	WNT1	WNT1	19154	-0.170204758644104	-0.25558072	Yes	
row_42	WNT3A	WNT3A	19157	-0.17176386713981628	-0.1943081	Yes	
row_43	WNT7A	WNT7A	19323	-0.22421908378601074	-0.12270343	Yes	
row_44	WNT2	WNT2	19419	-0.3575458526611328	1.5480816E-4	Yes	
