NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PINK1	PINK1	2205	0.05284877493977547	-0.05367507	No	
row_1	NDUFS5	NDUFS5	4047	0.023214243352413177	-0.122253366	No	
row_2	NDUFB5	NDUFB5	6654	0.006724193226546049	-0.2490315	No	
row_3	NDUFS1	NDUFS1	7763	0.002525343094021082	-0.30331323	No	
row_4	NDUFB10	NDUFB10	9004	-0.0015194920124486089	-0.36554676	No	
row_5	NDUFAB1	NDUFAB1	9545	-0.00317238736897707	-0.38979515	No	
row_6	NDUFS6	NDUFS6	9808	-0.00403903191909194	-0.39871913	No	
row_7	NDUFA5	NDUFA5	10465	-0.0064449794590473175	-0.42523172	No	
row_8	NDUFB8	NDUFB8	11501	-0.010244132950901985	-0.4669759	No	
row_9	NDUFS4	NDUFS4	11672	-0.010927043855190277	-0.46332642	No	
row_10	NDUFB4	NDUFB4	12252	-0.013312146067619324	-0.47806296	Yes	
row_11	NDUFV2	NDUFV2	12513	-0.014522522687911987	-0.47496963	Yes	
row_12	NDUFA4	NDUFA4	12827	-0.016047321259975433	-0.4728772	Yes	
row_13	NDUFA9	NDUFA9	12959	-0.01670699194073677	-0.46064734	Yes	
row_14	NDUFB3	NDUFB3	13082	-0.017277395352721214	-0.44730502	Yes	
row_15	NDUFA12	NDUFA12	13361	-0.01891338638961315	-0.44015008	Yes	
row_16	NDUFV1	NDUFV1	13385	-0.0190788134932518	-0.41965398	Yes	
row_17	NDUFC2	NDUFC2	13427	-0.019335908815264702	-0.39979416	Yes	
row_18	NDUFV3	NDUFV3	13590	-0.02037964202463627	-0.38498944	Yes	
row_19	NDUFB7	NDUFB7	13809	-0.021887196227908134	-0.37136	Yes	
row_20	NDUFA10	NDUFA10	13861	-0.022177888080477715	-0.34878618	Yes	
row_21	NDUFB6	NDUFB6	13895	-0.022404231131076813	-0.32502666	Yes	
row_22	NDUFA8	NDUFA8	13976	-0.022892918437719345	-0.30313608	Yes	
row_23	NDUFB1	NDUFB1	14160	-0.02410556562244892	-0.28518018	Yes	
row_24	NDUFA1	NDUFA1	14447	-0.02633543312549591	-0.27000296	Yes	
row_25	NDUFA11	NDUFA11	14453	-0.026375478133559227	-0.24028598	Yes	
row_26	NDUFS7	NDUFS7	14910	-0.02993599884212017	-0.22978559	Yes	
row_27	NDUFS8	NDUFS8	14945	-0.030292412266135216	-0.19711299	Yes	
row_28	NDUFB2	NDUFB2	15141	-0.03198191896080971	-0.17082486	Yes	
row_29	NDUFS3	NDUFS3	15513	-0.035437554121017456	-0.14968774	Yes	
row_30	NDUFC1	NDUFC1	15543	-0.03572096303105354	-0.11058786	Yes	
row_31	NDUFB11	NDUFB11	15700	-0.037104833871126175	-0.07646603	Yes	
row_32	NDUFA7	NDUFA7	15708	-0.03718380257487297	-0.034568902	Yes	
row_33	NDUFA3	NDUFA3	16504	-0.04634612426161766	-0.022904877	Yes	
row_34	NDUFA13	NDUFA13	16835	-0.050843894481658936	0.017855866	Yes	
row_35	NDUFS2	NDUFS2	18672	-0.10165932774543762	0.038685802	Yes	
