NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UBQLN2	UBQLN2	3333	0.03098471462726593	-0.143171	No	
row_1	RPS27A	RPS27A	5804	0.010314184240996838	-0.26101348	No	
row_2	UBA52	UBA52	6974	0.005351093132048845	-0.3163499	No	
row_3	PSMA4	PSMA4	8503	8.337171311723068E-5	-0.39509633	No	
row_4	UBC	UBC	9129	-0.001902810879983008	-0.42557117	No	
row_5	PSMA6	PSMA6	9804	-0.004018031992018223	-0.45661002	No	
row_6	PSMA8	PSMA8	10412	-0.006247227545827627	-0.482123	No	
row_7	PSMD14	PSMD14	10989	-0.008357550948858261	-0.50407755	No	
row_8	UBB	UBB	11401	-0.009814378805458546	-0.51616794	No	
row_9	PSMD4	PSMD4	11487	-0.010155330412089825	-0.5111246	No	
row_10	PSMD12	PSMD12	11835	-0.01152107771486044	-0.5183289	Yes	
row_11	PSMA5	PSMA5	11836	-0.011524473316967487	-0.50762963	Yes	
row_12	PSMA1	PSMA1	11946	-0.012009546160697937	-0.5021029	Yes	
row_13	PSMB4	PSMB4	12473	-0.014322592876851559	-0.5159403	Yes	
row_14	PSMD7	PSMD7	12544	-0.014647355303168297	-0.5059528	Yes	
row_15	PSMC1	PSMC1	12568	-0.014784233644604683	-0.49341366	Yes	
row_16	PSMC6	PSMC6	12591	-0.014903557486832142	-0.48071218	Yes	
row_17	PSMA2	PSMA2	12740	-0.01562962494790554	-0.47383645	Yes	
row_18	PSMD6	PSMD6	13170	-0.017812587320804596	-0.47942984	Yes	
row_19	PSMC2	PSMC2	13732	-0.021447045728564262	-0.48845842	Yes	
row_20	PSMA3	PSMA3	13781	-0.0217331200838089	-0.47075763	Yes	
row_21	PSMB3	PSMB3	14017	-0.02316327393054962	-0.46137574	Yes	
row_22	PSMB1	PSMB1	14050	-0.023386884480714798	-0.44131422	Yes	
row_23	PSMD8	PSMD8	14165	-0.024128418415784836	-0.42479435	Yes	
row_24	PSMD1	PSMD1	14992	-0.030710561200976372	-0.43889308	Yes	
row_25	PSMC5	PSMC5	15172	-0.03221084922552109	-0.4182226	Yes	
row_26	PSMC4	PSMC4	15564	-0.03582077845931053	-0.405137	Yes	
row_27	PSMB6	PSMB6	15704	-0.03714296966791153	-0.37782413	Yes	
row_28	ADRM1	ADRM1	15730	-0.03742148354649544	-0.34437186	Yes	
row_29	PSMB2	PSMB2	15746	-0.03756918013095856	-0.3102666	Yes	
row_30	PSMB5	PSMB5	15925	-0.039356935769319534	-0.28291017	Yes	
row_31	PSMD2	PSMD2	16163	-0.04219195619225502	-0.2559653	Yes	
row_32	PSMC3	PSMC3	16236	-0.04310264065861702	-0.21966322	Yes	
row_33	PSMB7	PSMB7	16243	-0.04319119080901146	-0.17987424	Yes	
row_34	PSMD9	PSMD9	17244	-0.05673183128237724	-0.17879094	Yes	
row_35	PSMD13	PSMD13	17264	-0.05696934834122658	-0.126881	Yes	
row_36	PSMD11	PSMD11	18658	-0.10075566172599792	-0.10519961	Yes	
row_37	PSMD3	PSMD3	19150	-0.15570926666259766	0.0140312845	Yes	
