NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CASQ1	CASQ1	24	0.4999415874481201	0.5501292	Yes	
row_1	CACNA2D3	CACNA2D3	983	0.10492707788944244	0.6164728	Yes	
row_2	CASQ2	CASQ2	2135	0.054568979889154434	0.617331	Yes	
row_3	CACNG6	CACNG6	2945	0.03731641173362732	0.6167891	No	
row_4	RYR2	RYR2	5157	0.013975271955132484	0.51824456	No	
row_5	ASPH	ASPH	5360	0.012629341334104538	0.52176166	No	
row_6	CACNG1	CACNG1	5736	0.01059143990278244	0.5141147	No	
row_7	CACNG3	CACNG3	5942	0.009702780283987522	0.51424956	No	
row_8	CACNB4	CACNB4	6691	0.006558589171618223	0.48293003	No	
row_9	CACNA2D1	CACNA2D1	8250	8.560235728509724E-4	0.40357313	No	
row_10	CACNA2D4	CACNA2D4	9519	-0.0030805235728621483	0.34161642	No	
row_11	CACNG2	CACNG2	9927	-0.0044759237207472324	0.32557553	No	
row_12	CACNA1C	CACNA1C	10235	-0.005554052069783211	0.31587777	No	
row_13	CACNB1	CACNB1	10301	-0.005808454938232899	0.31893352	No	
row_14	CACNA2D2	CACNA2D2	11379	-0.009726208634674549	0.27415043	No	
row_15	CACNG4	CACNG4	11882	-0.011716640554368496	0.26119864	No	
row_16	TRDN	TRDN	12277	-0.013415885157883167	0.2556873	No	
row_17	CACNG7	CACNG7	12444	-0.014226648025214672	0.2628215	No	
row_18	CACNB3	CACNB3	14143	-0.02401808090507984	0.20179336	No	
row_19	CACNG5	CACNG5	14384	-0.025809958577156067	0.2178883	No	
row_20	CACNB2	CACNB2	15788	-0.03783261403441429	0.18730028	No	
