NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CREB5	CREB5	389	0.1795867681503296	0.14385341	Yes	
row_1	CAMK1G	CAMK1G	464	0.1648206114768982	0.2904687	Yes	
row_2	CACNA1H	CACNA1H	730	0.12749478220939636	0.39317065	Yes	
row_3	CAMK2A	CAMK2A	858	0.11398915946483612	0.49066034	Yes	
row_4	CAMK1D	CAMK1D	922	0.10895894467830658	0.58685833	Yes	
row_5	CAMK2G	CAMK2G	938	0.10825599730014801	0.6848892	Yes	
row_6	CACNA1D	CACNA1D	3306	0.031513556838035583	0.5916284	No	
row_7	CYP11B2	CYP11B2	3324	0.031121358275413513	0.6191562	No	
row_8	CALM2	CALM2	6032	0.009319478645920753	0.4881115	No	
row_9	CAMK2B	CAMK2B	6807	0.006027182098478079	0.45371142	No	
row_10	KCNJ5	KCNJ5	7502	0.0033967609051615	0.42103472	No	
row_11	CREB1	CREB1	7755	0.0025651028845459223	0.41038483	No	
row_12	CAMK4	CAMK4	7988	0.001828084117732942	0.40009332	No	
row_13	CALM3	CALM3	8856	-9.87485283985734E-4	0.35629925	No	
row_14	CREB3L3	CREB3L3	10870	-0.007885228842496872	0.25972244	No	
row_15	ATF2	ATF2	11276	-0.009383277036249638	0.24740802	No	
row_16	CALM1	CALM1	11583	-0.010553071275353432	0.24126488	No	
row_17	CREB3L2	CREB3L2	12539	-0.014635689556598663	0.20539084	No	
row_18	ATF4	ATF4	12895	-0.01639426127076149	0.20205286	No	
row_19	ATF6B	ATF6B	13128	-0.017583055421710014	0.20614074	No	
row_20	CREB3L4	CREB3L4	13268	-0.01834920607507229	0.21572219	No	
row_21	CAMK1	CAMK1	13488	-0.019711069762706757	0.22242247	No	
row_22	CAMK2D	CAMK2D	13760	-0.021623756736516953	0.22818774	No	
row_23	CREB3	CREB3	15083	-0.03146528825163841	0.18875442	No	
row_24	CREB3L1	CREB3L1	15824	-0.03821330890059471	0.18548307	No	
